Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite_OrangeDemoBlaze,Chrome 129.0.0.0,,,11-10-2024 18:34:09,11-10-2024 18:34:47,37.604s,PASSED
,,,,,,,
Test Cases/DemoBlazeTagsAdded,Chrome 129.0.0.0,,BlazeTag,11-10-2024 18:34:10,11-10-2024 18:34:33,23.425s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,11-10-2024 18:34:11,11-10-2024 18:34:20,8.257s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 129.0.0.0,,,11-10-2024 18:34:20,11-10-2024 18:34:23,3.217s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/a_Monitors""))",Chrome 129.0.0.0,,,11-10-2024 18:34:23,11-10-2024 18:34:26,2.951s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/a_ASUS Full HD""))",Chrome 129.0.0.0,,,11-10-2024 18:34:26,11-10-2024 18:34:28,2.398s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_STORE/h2_ASUS Full HD""), 0)",Chrome 129.0.0.0,,,11-10-2024 18:34:28,11-10-2024 18:34:29,1.144s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/a_Add to cart""))",Chrome 129.0.0.0,,,11-10-2024 18:34:29,11-10-2024 18:34:30,0.601s,PASSED
"cart = findTestObject(""Object Repository/Page_STORE/a_Add to cart"")",Chrome 129.0.0.0,,,11-10-2024 18:34:30,11-10-2024 18:34:30,0.046s,PASSED
"verifyElementPresent(cart, 3)",Chrome 129.0.0.0,,,11-10-2024 18:34:30,11-10-2024 18:34:31,0.751s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,11-10-2024 18:34:31,11-10-2024 18:34:33,2.641s,PASSED
,,,,,,,
Test Cases/dempapplotz,Chrome 129.0.0.0,,tagapplot,11-10-2024 18:34:34,11-10-2024 18:34:47,13.020s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,11-10-2024 18:34:35,11-10-2024 18:34:39,4.140s,PASSED
"navigateToUrl(""https://demo.applitools.com/"")",Chrome 129.0.0.0,,,11-10-2024 18:34:39,11-10-2024 18:34:40,1.350s,PASSED
"setText(findTestObject(""Object Repository/Page_ACME Demo App by Applitools/input_Username_username""), ""test"")",Chrome 129.0.0.0,,,11-10-2024 18:34:40,11-10-2024 18:34:42,1.337s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_ACME Demo App by Applitools/input_Password_password""), ""P9ET2sDE0SE="")",Chrome 129.0.0.0,,,11-10-2024 18:34:42,11-10-2024 18:34:43,0.923s,PASSED
"click(findTestObject(""Object Repository/Page_ACME Demo App by Applitools/input_Remember Me_form-check-input""))",Chrome 129.0.0.0,,,11-10-2024 18:34:43,11-10-2024 18:34:43,0.672s,PASSED
"click(findTestObject(""Object Repository/Page_ACME Demo App by Applitools/a_Sign in""))",Chrome 129.0.0.0,,,11-10-2024 18:34:43,11-10-2024 18:34:45,1.344s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_ACME demo app/h6_Your nearest branch closes in 30m 5s""), 0)",Chrome 129.0.0.0,,,11-10-2024 18:34:45,11-10-2024 18:34:45,0.650s,PASSED
"click(findTestObject(""Object Repository/Page_ACME demo app/a_Restaurant  Cafe""))",Chrome 129.0.0.0,,,11-10-2024 18:34:45,11-10-2024 18:34:46,0.859s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_ACME demo app/span_Starbucks coffee""), 0)",Chrome 129.0.0.0,,,11-10-2024 18:34:46,11-10-2024 18:34:47,0.467s,PASSED
