Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ParaBankTestSuite,Chrome 129.0.0.0,,,18-10-2024 23:55:20,18-10-2024 23:55:56,35.386s,PASSED
,,,,,,,
Test Cases/ParaBank,Chrome 129.0.0.0,,parabanktag,18-10-2024 23:55:21,18-10-2024 23:55:56,34.736s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,18-10-2024 23:55:22,18-10-2024 23:55:28,5.325s,PASSED
"navigateToUrl(""https://parabank.parasoft.com/parabank/index.htm;jsessionid=433A0C0C0BB91807C12AA4A71899882A"")",Chrome 129.0.0.0,,,18-10-2024 23:55:28,18-10-2024 23:55:32,4.397s,PASSED
"click(findTestObject(""Object Repository/Page_ParaBank  Welcome  Online Banking/a_Register""))",Chrome 129.0.0.0,,,18-10-2024 23:55:32,18-10-2024 23:55:35,3.344s,PASSED
"setText(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_First Name_customer.firstName""), fname)",Chrome 129.0.0.0,,,18-10-2024 23:55:35,18-10-2024 23:55:37,1.098s,PASSED
"setText(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Last Name_customer.lastName""), lname)",Chrome 129.0.0.0,,,18-10-2024 23:55:37,18-10-2024 23:55:38,0.975s,PASSED
"setText(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Address_customer.address.street""), ""t"")",Chrome 129.0.0.0,,,18-10-2024 23:55:38,18-10-2024 23:55:38,0.857s,PASSED
"setText(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_City_customer.address.city""), ""t"")",Chrome 129.0.0.0,,,18-10-2024 23:55:38,18-10-2024 23:55:39,0.863s,PASSED
"click(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_City_customer.address.city""))",Chrome 129.0.0.0,,,18-10-2024 23:55:39,18-10-2024 23:55:40,0.514s,PASSED
"setText(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_State_customer.address.state""), ""t"")",Chrome 129.0.0.0,,,18-10-2024 23:55:40,18-10-2024 23:55:41,1.361s,PASSED
"click(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_State_customer.address.state""))",Chrome 129.0.0.0,,,18-10-2024 23:55:41,18-10-2024 23:55:42,0.808s,PASSED
"setText(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Zip Code_customer.address.zipCode""), ""222"")",Chrome 129.0.0.0,,,18-10-2024 23:55:42,18-10-2024 23:55:43,1.526s,PASSED
"setText(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Phone_customer.phoneNumber""), ""22332"")",Chrome 129.0.0.0,,,18-10-2024 23:55:43,18-10-2024 23:55:45,1.502s,PASSED
"setText(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_SSN_customer.ssn""), """")",Chrome 129.0.0.0,,,18-10-2024 23:55:45,18-10-2024 23:55:46,1.407s,PASSED
"click(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_SSN_customer.ssn""))",Chrome 129.0.0.0,,,18-10-2024 23:55:46,18-10-2024 23:55:47,0.606s,PASSED
"setText(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Username_customer.username""), ""test"")",Chrome 129.0.0.0,,,18-10-2024 23:55:47,18-10-2024 23:55:49,1.526s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Password_customer.password""), ""P9ET2sDE0SE="")",Chrome 129.0.0.0,,,18-10-2024 23:55:49,18-10-2024 23:55:50,1.237s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Confirm_repeatedPassword""), ""P9ET2sDE0SE="")",Chrome 129.0.0.0,,,18-10-2024 23:55:50,18-10-2024 23:55:51,0.923s,PASSED
"click(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Confirm_button""))",Chrome 129.0.0.0,,,18-10-2024 23:55:51,18-10-2024 23:55:53,2.274s,PASSED
"setText(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Username_username""), ""test"")",Chrome 129.0.0.0,,,18-10-2024 23:55:53,18-10-2024 23:55:54,0.718s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Password_password""), ""P9ET2sDE0SE="")",Chrome 129.0.0.0,,,18-10-2024 23:55:54,18-10-2024 23:55:54,0.715s,PASSED
"click(findTestObject(""Object Repository/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Password_button""))",Chrome 129.0.0.0,,,18-10-2024 23:55:54,18-10-2024 23:55:55,1.008s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_ParaBank  Error/p_The username and password could not be verified""))",Chrome 129.0.0.0,,,18-10-2024 23:55:55,18-10-2024 23:55:56,0.449s,PASSED
