Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TricentisSuite,Chrome 130.0.0.0,,,21-10-2024 20:10:05,21-10-2024 20:11:59,1m - 53.757s,FAILED
,,,,,,,
Test Cases/Tricentis,Chrome 130.0.0.0,,,21-10-2024 20:11:01,21-10-2024 20:11:59,58.005s,FAILED
"openBrowser("""")",Chrome 130.0.0.0,,,21-10-2024 20:11:01,21-10-2024 20:11:05,3.771s,PASSED
"navigateToUrl(""https://sampleapp.tricentis.com/101/"")",Chrome 130.0.0.0,,,21-10-2024 20:11:05,21-10-2024 20:11:20,14.993s,PASSED
"click(findTestObject(""Object Repository/Page_Tricentis Vehicle Insurance/a_Motorcycle""))",Chrome 130.0.0.0,,,21-10-2024 20:11:20,21-10-2024 20:11:23,3.204s,PASSED
"click(findTestObject(""Object Repository/Page_Enter Vehicle Data/a_Enter Insurant Data7""))",Chrome 130.0.0.0,,,21-10-2024 20:11:23,21-10-2024 20:11:24,0.638s,PASSED
"setText(findTestObject(""Object Repository/Page_Enter Insurant Data/input_First Name_First Name""), ""as"")",Chrome 130.0.0.0,,,21-10-2024 20:11:24,21-10-2024 20:11:25,1.025s,PASSED
"setText(findTestObject(""Object Repository/Page_Enter Insurant Data/input_Last Name_Last Name""), ""as"")",Chrome 130.0.0.0,,,21-10-2024 20:11:25,21-10-2024 20:11:26,1.031s,PASSED
"click(findTestObject(""Object Repository/Page_Enter Insurant Data/i_Date of Birth_fa fa-calendar-plus-o""))",Chrome 130.0.0.0,,,21-10-2024 20:11:26,21-10-2024 20:11:26,0.644s,PASSED
"click(findTestObject(""Object Repository/Page_Enter Insurant Data/span_October""))",Chrome 130.0.0.0,,,21-10-2024 20:11:26,21-10-2024 20:11:27,0.492s,PASSED
"click(findTestObject(""Object Repository/Page_Enter Insurant Data/span_Female_ideal-radio""))",Chrome 130.0.0.0,,,21-10-2024 20:11:27,21-10-2024 20:11:59,32.115s,FAILED
