Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tc43suite,Chrome 130.0.0.0,,,23-10-2024 00:28:57,23-10-2024 00:29:30,33.138s,PASSED
,,,,,,,
Test Cases/tc46,Chrome 130.0.0.0,,,23-10-2024 00:28:58,23-10-2024 00:29:19,21.479s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,23-10-2024 00:28:59,23-10-2024 00:29:08,9.330s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Chrome 130.0.0.0,,,23-10-2024 00:29:08,23-10-2024 00:29:10,1.886s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/img""))",Chrome 130.0.0.0,,,23-10-2024 00:29:10,23-10-2024 00:29:12,2.059s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_FI-SW-01""))",Chrome 130.0.0.0,,,23-10-2024 00:29:12,23-10-2024 00:29:13,0.989s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Add to Cart""))",Chrome 130.0.0.0,,,23-10-2024 00:29:13,23-10-2024 00:29:15,1.226s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Return to Main Menu""))",Chrome 130.0.0.0,,,23-10-2024 00:29:15,23-10-2024 00:29:16,1.138s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/img_1""))",Chrome 130.0.0.0,,,23-10-2024 00:29:16,23-10-2024 00:29:17,1.059s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_K9-DL-01""))",Chrome 130.0.0.0,,,23-10-2024 00:29:17,23-10-2024 00:29:18,0.945s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_EST-10""))",Chrome 130.0.0.0,,,23-10-2024 00:29:18,23-10-2024 00:29:19,1.247s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_JPetStore Demo/font_Spotted Adult Female  Dalmation""), 0)",Chrome 130.0.0.0,,,23-10-2024 00:29:19,23-10-2024 00:29:19,0.408s,PASSED
,,,,,,,
Test Cases/tc43,Chrome 130.0.0.0,,,23-10-2024 00:29:19,23-10-2024 00:29:30,10.202s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,23-10-2024 00:29:20,23-10-2024 00:29:27,6.851s,PASSED
"navigateToUrl(""https://testpages.eviltester.com/styled/alerts/alert-test.html"")",Chrome 130.0.0.0,,,23-10-2024 00:29:27,23-10-2024 00:29:29,2.319s,PASSED
"click(findTestObject(""Object Repository/Page_Test Page For JavaScript Alerts/input_Alert Box Examples_alertexamples""))",Chrome 130.0.0.0,,,23-10-2024 00:29:29,23-10-2024 00:29:30,0.656s,PASSED
