Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
sampletestsuite,Chrome 130.0.0.0,,,24-10-2024 00:03:08,24-10-2024 00:03:54,45.502s,PASSED
,,,,,,,
Test Cases/TCSample,Chrome 130.0.0.0,,,24-10-2024 00:03:11,24-10-2024 00:03:32,20.902s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,24-10-2024 00:03:12,24-10-2024 00:03:21,8.197s,PASSED
"navigateToUrl(""https://stps.ecoleaide.com/home.htm"")",Chrome 130.0.0.0,,,24-10-2024 00:03:21,24-10-2024 00:03:24,3.283s,PASSED
"click(findTestObject(""Object Repository/Page_St. Thomas Public School - StudentPare_015377/a_Forgot Password""))",Chrome 130.0.0.0,,,24-10-2024 00:03:24,24-10-2024 00:03:26,2.139s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_St. Thomas Public School - StudentPare_015377/select_--Select Problem--I forgot my password""), ""1"", true)",Chrome 130.0.0.0,,,24-10-2024 00:03:26,24-10-2024 00:03:28,1.526s,PASSED
"click(findTestObject(""Object Repository/Page_St. Thomas Public School - StudentPare_015377/input_What problem are you having with your_1922ff""))",Chrome 130.0.0.0,,,24-10-2024 00:03:28,24-10-2024 00:03:28,0.849s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_St. Thomas Public School - StudentPare_015377/select_--Select reset method--Send reset me_765839""), ""2"", true)",Chrome 130.0.0.0,,,24-10-2024 00:03:28,24-10-2024 00:03:30,1.664s,PASSED
"setText(findTestObject(""Object Repository/Page_St. Thomas Public School - StudentPare_015377/input_Enter your username_email""), ""test"")",Chrome 130.0.0.0,,,24-10-2024 00:03:30,24-10-2024 00:03:31,1.234s,PASSED
"click(findTestObject(""Object Repository/Page_St. Thomas Public School - StudentPare_015377/input_Enter your username_back""))",Chrome 130.0.0.0,,,24-10-2024 00:03:31,24-10-2024 00:03:32,0.756s,PASSED
,,,,,,,
Test Cases/TCSample,Chrome 130.0.0.0,,,24-10-2024 00:03:32,24-10-2024 00:03:54,21.560s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,24-10-2024 00:03:32,24-10-2024 00:03:44,11.529s,PASSED
"navigateToUrl(""https://stps.ecoleaide.com/home.htm"")",Chrome 130.0.0.0,,,24-10-2024 00:03:44,24-10-2024 00:03:44,0.718s,PASSED
"click(findTestObject(""Object Repository/Page_St. Thomas Public School - StudentPare_015377/a_Forgot Password""))",Chrome 130.0.0.0,,,24-10-2024 00:03:44,24-10-2024 00:03:49,4.376s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_St. Thomas Public School - StudentPare_015377/select_--Select Problem--I forgot my password""), ""1"", true)",Chrome 130.0.0.0,,,24-10-2024 00:03:49,24-10-2024 00:03:50,1.340s,PASSED
"click(findTestObject(""Object Repository/Page_St. Thomas Public School - StudentPare_015377/input_What problem are you having with your_1922ff""))",Chrome 130.0.0.0,,,24-10-2024 00:03:50,24-10-2024 00:03:51,0.648s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_St. Thomas Public School - StudentPare_015377/select_--Select reset method--Send reset me_765839""), ""2"", true)",Chrome 130.0.0.0,,,24-10-2024 00:03:51,24-10-2024 00:03:52,1.130s,PASSED
"setText(findTestObject(""Object Repository/Page_St. Thomas Public School - StudentPare_015377/input_Enter your username_email""), ""test"")",Chrome 130.0.0.0,,,24-10-2024 00:03:52,24-10-2024 00:03:53,1.125s,PASSED
"click(findTestObject(""Object Repository/Page_St. Thomas Public School - StudentPare_015377/input_Enter your username_back""))",Chrome 130.0.0.0,,,24-10-2024 00:03:53,24-10-2024 00:03:54,0.619s,PASSED
