Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CuraPwdSelfhealTry,Chrome 130.0.0.0,,,24-10-2024 00:46:15,24-10-2024 00:46:41,25.573s,PASSED
,,,,,,,
Test Cases/TC2_CuraHealth_SelfHeal,Chrome 130.0.0.0,,,24-10-2024 00:46:19,24-10-2024 00:46:41,21.948s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,24-10-2024 00:46:20,24-10-2024 00:46:28,7.589s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 130.0.0.0,,,24-10-2024 00:46:28,24-10-2024 00:46:32,3.994s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 130.0.0.0,,,24-10-2024 00:46:32,24-10-2024 00:46:35,3.151s,PASSED
"username = findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username"")",Chrome 130.0.0.0,,,24-10-2024 00:46:35,24-10-2024 00:46:35,0.052s,PASSED
"setText(username, ""John Doe"")",Chrome 130.0.0.0,,,24-10-2024 00:46:35,24-10-2024 00:46:37,1.571s,PASSED
"verifyElementPresent(username, 5)",Chrome 130.0.0.0,,,24-10-2024 00:46:37,24-10-2024 00:46:37,0.416s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Chrome 130.0.0.0,,,24-10-2024 00:46:37,24-10-2024 00:46:38,1.483s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 130.0.0.0,,,24-10-2024 00:46:38,24-10-2024 00:46:40,1.522s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/textMake_Appointment""), 0)",Chrome 130.0.0.0,,,24-10-2024 00:46:40,24-10-2024 00:46:41,0.737s,PASSED
